Persona_ID,Persona_Name,Country_Context,Care_Setting,Clinical_or_Operational_Domain,Role_Description,Typical_Integration_Use_Cases,Primary_Systems,FHIR_Resource_Touchpoints,HL7v2_Message_Touchpoints,Data_Access_Level,BulletTrain_Technical_Role,BulletTrain_Scopes,SMART_on_FHIR_Equivalent_Scopes,Data_Sensitivity_Allowed,Purpose_of_Use_Default,Regulatory_Constraints,Authentication_Requirements,RBAC_Level,Audit_Expectation,Segregation_of_Duties_Notes,UK_NHS_NRBAC_Notes,USA_HIPAA_Minimum_Necessary_Notes,Kenya_Context_Notes,Config_Notes
P033,Health Records & Information Officer (HRIO),Kenya,Facility Records,Records,"Registers patients, manages records, filing and retrieval.",Register patient; update demographics; manage file retrieval; generate reports.,"Registration, EMR","Patient, Appointment, DocumentReference, AuditEvent","ADT, SIU",Read/Write (Demographics/Docs),patient_service,patient.read appointment.read documentreference.read audit.read patient.write appointment.write documentreference.write,user/Patient.read user/Appointment.read user/DocumentReference.read user/Patient.write user/Appointment.write user/DocumentReference.write,Medium,Healthcare Operations,Kenya Health Act 2017; Kenya Data Protection Act,Username + MFA,Restricted,Audit demographic edits and disclosures,No clinical notes editing,N/A,N/A,Recognised health records cadre in Kenya,Restrict clinical content access
P034,Facility Data Clerk (HMIS),Kenya,Facility / County Reporting,Public Health,Captures aggregate indicators and submits to national systems.,Aggregate reporting; submit counts; data quality checks; exports.,"KHIS (DHIS2), EMR extracts","Measure, Observation (aggregate proxies), AuditEvent",N/A,Read/Write (Aggregate),patient_service,aggregate.write aggregate.read audit.read,N/A,Low,Public Health,Kenya Data Protection Act; MoH reporting policies,Username + MFA,Restricted,Audit submissions,No patient-level clinical access by default,N/A,N/A,Separate aggregate vs patient-level access,Use de-identified/aggregate outputs
P035,County Health Management Team (CHMT) Analyst,Kenya,County Level,Public Health,Analyses county data and performance indicators.,View dashboards; run analytics; approve submissions; investigate anomalies.,"KHIS (DHIS2), Analytics tools",N/A (aggregate),N/A,Read (Aggregate),auditor,aggregate.read audit.read,N/A,Low,Public Health,Kenya Data Protection Act,MFA,Restricted,Audit access to dashboards,No facility-level user provisioning,N/A,N/A,Role is not clinical; avoid PHI,Keep as aggregate-only persona
P036,Community Health Promoter / CHW,Kenya,Community,Community Health,Provides community follow-up and basic data capture.,Record household visits; appointment reminders; referrals to facility.,"Community health app, EMR (limited)","Patient (limited), Appointment, Task, AuditEvent",SIU,Read/Write (limited),patient_service,patient.read appointment.read task.read audit.read appointment.write task.write,user/Patient.read user/Appointment.read user/Task.read user/Appointment.write user/Task.write,Low,Treatment,Kenya Health Act 2017; Kenya Data Protection Act,Username + MFA,Restricted,Audit outreach actions,No sensitive notes access,N/A,N/A,Minimise PHI on mobile devices,Consider device security controls
P037,Emergency Physician,USA,Emergency Department,Clinical,ED doctor providing urgent assessment and treatment.,Triage support; rapid ordering; discharge summaries; trauma workflows.,"ED System, EHR","Patient, Encounter, Observation, ServiceRequest, Condition, AuditEvent","ADT, ORM, ORU",Read/Write/Update,clinician_service,patient.read encounter.read observation.read servicerequest.read condition.read audit.read encounter.write observation.write servicerequest.write condition.write,user/Patient.read user/Encounter.read user/Observation.read user/ServiceRequest.read user/Condition.read user/Encounter.write user/Observation.write user/ServiceRequest.write user/Condition.write,High,Treatment,HIPAA,MFA + SSO,High,Audit ED orders and dispositions,Separate from billing,N/A,Minimum necessary; emergency exceptions still audited,N/A,Include break-glass flag support
P038,Paramedic (Pre-hospital),UK,Ambulance Service,Pre-hospital,Pre-hospital clinician capturing observations and handover.,Capture vitals; create pre-arrival encounter; handover to ED.,"Ambulance ePCR, Integration Engine","Patient, Encounter, Observation, AuditEvent","ADT, ORU",Read/Write,clinician_service,patient.read encounter.read observation.read audit.read encounter.write observation.write,user/Patient.read user/Encounter.read user/Observation.read user/Encounter.write user/Observation.write,Medium,Treatment,UK GDPR; NHS policies,Smartcard/MFA (where applicable),Medium,Audit pre-hospital documentation,No access to longitudinal record beyond need,Map to ambulance job roles; local NRBAC where used,N/A,N/A,Limit to encounter context
P039,Dietitian,UK,Hospital/Community,Allied Health,Provides nutrition assessment and plan.,Record assessments; update care plan; coordinate with clinicians.,"EHR, Dietetics system","Patient, Observation, CarePlan, Encounter, AuditEvent",ORU,Read/Write,clinician_service,patient.read observation.read careplan.read encounter.read audit.read observation.write careplan.write encounter.write,user/Patient.read user/Observation.read user/CarePlan.read user/Encounter.read user/Observation.write user/CarePlan.write user/Encounter.write,Medium,Treatment,UK GDPR,Smartcard + MFA,Medium,Audit care plan updates,No medication write,Allied health NRBAC mapping,N/A,N/A,Restrict to relevant care teams
P040,Speech & Language Therapist,UK,Rehab,Allied Health,Assesses speech and swallowing and documents care.,Record assessments; therapy plans; referrals for further evaluation.,"EHR, Rehab system","Patient, Observation, CarePlan, Encounter, AuditEvent",ORU,Read/Write,clinician_service,patient.read observation.read careplan.read encounter.read audit.read observation.write careplan.write encounter.write,user/Patient.read user/Observation.read user/CarePlan.read user/Encounter.read user/Observation.write user/CarePlan.write user/Encounter.write,Medium,Treatment,UK GDPR,Smartcard + MFA,Medium,Audit therapy plan changes,No prescribing,NHS allied health mapping,N/A,N/A,Use team-based access constraints
P041,Mental Health Clinician,USA,Behavioural Health,Clinical,Provides mental health assessment and treatment.,Document therapy sessions; manage care plan; coordinate referrals.,"EHR, Mental health system","Patient, Encounter, Observation, CarePlan, Consent, AuditEvent","ORU, ADT",Read/Write,clinician_service,patient.read encounter.read observation.read careplan.read consent.read audit.read encounter.write observation.write careplan.write,user/Patient.read user/Encounter.read user/Observation.read user/CarePlan.read user/Consent.read user/Encounter.write user/Observation.write user/CarePlan.write,High,Treatment,HIPAA,MFA + SSO,High,Audit access to sensitive notes,Segregate psychotherapy notes if supported,N/A,Minimum necessary with heightened sensitivity,N/A,Set sensitivity high; consider break-glass constraints
P042,Social Worker,USA,Hospital,Care Coordination,Supports discharge planning and social needs assessment.,Document social history; coordinate services; referrals.,"EHR, Care management","Patient, Encounter, Observation, Task, AuditEvent","ADT, SIU",Read/Write,clinician_service,patient.read encounter.read observation.read task.read audit.read encounter.write observation.write task.write,user/Patient.read user/Encounter.read user/Observation.read user/Task.read user/Encounter.write user/Observation.write user/Task.write,Medium,Healthcare Operations,HIPAA,MFA + SSO,Medium,Audit social notes access,No medication write,N/A,Minimum necessary; limit to assigned patients,N/A,Use patient-panel constraints
P043,Case Manager,USA,Hospital,Care Coordination,Coordinates care and utilisation review.,Track length of stay; manage tasks; coordinate discharge.,Care management platform,"Patient, Encounter, Task, AuditEvent",ADT,Read/Write,clinician_service,patient.read encounter.read task.read audit.read task.write,user/Patient.read user/Encounter.read user/Task.read user/Task.write,Medium,Healthcare Operations,HIPAA,MFA + SSO,Medium,Audit care coordination actions,No clinical authoring beyond tasks,N/A,Minimum necessary; avoid clinical notes write,N/A,Scope to Task/CarePlan where used
P044,Operating Theatre Scheduler,UK,Surgical Services,Operations,Manages theatre schedules and resource allocation.,Schedule procedures; coordinate resources; notify teams.,"Scheduling system, EHR (limited)","Appointment, Procedure, Patient, AuditEvent","SIU, ADT",Read/Write (Scheduling),patient_service,patient.read appointment.read procedure.read audit.read appointment.write procedure.write,user/Patient.read user/Appointment.read user/Procedure.read user/Appointment.write user/Procedure.write,Low,Healthcare Operations,UK GDPR,Smartcard + MFA,Restricted,Audit schedule changes,No access to notes,NRBAC: admin/scheduling activity codes,N/A,N/A,Restrict to procedure metadata
P045,Bed Manager,UK,Hospital,Operations,Manages bed allocation and patient flow.,Update location/ward; manage admissions/transfers; discharge coordination.,"Bed management, EHR","Patient, Encounter, Location, AuditEvent",ADT,Read/Write,patient_service,patient.read encounter.read location.read audit.read encounter.write location.write,user/Patient.read user/Encounter.read user/Location.read user/Encounter.write user/Location.write,Medium,Healthcare Operations,UK GDPR,Smartcard + MFA,Restricted,Audit transfers,No clinical notes edits,NRBAC operations roles,N/A,N/A,Limit to Encounter/Location updates
P046,Theatre Scrub Nurse,USA,Surgery,Clinical,Assists in surgical procedures and documents perioperative care.,Record perioperative observations; manage instrument counts; handover.,"OR system, EHR","Encounter, Observation, Procedure, Patient, AuditEvent","ORU, ADT",Read/Write,clinician_service,patient.read encounter.read observation.read procedure.read audit.read encounter.write observation.write procedure.write,user/Patient.read user/Encounter.read user/Observation.read user/Procedure.read user/Encounter.write user/Observation.write user/Procedure.write,High,Treatment,HIPAA,MFA + SSO,Medium,Audit perioperative documentation,No prescribing,N/A,Minimum necessary within OR context,N/A,Scope to surgical encounter
P047,Infection Prevention Nurse,USA,Hospital,Public Health,Monitors infections and reports to public health as needed.,Review lab results; track infections; report cases; outbreak monitoring.,"EHR, Infection control system","Observation, Condition, DiagnosticReport, AuditEvent",ORU,Read/Write (limited),clinician_service,patient.read observation.read condition.read diagnosticreport.read audit.read condition.write,user/Patient.read user/Observation.read user/Condition.read user/DiagnosticReport.read user/Condition.write,High,Public Health,HIPAA,MFA + SSO,Medium,Audit surveillance access,Separate from billing,N/A,Minimum necessary; public health disclosures permitted but controlled,N/A,Include reporting workflows
P048,Telehealth Clinician,UK,Virtual Care,Clinical,Provides remote consultations via telehealth.,Video visit documentation; e-prescribing; follow-up tasks; integration with remote monitoring.,"Telehealth platform, EHR","Patient, Encounter, Observation, MedicationRequest, Task, AuditEvent","ORU, SIU",Read/Write,clinician_service,patient.read encounter.read observation.read medicationrequest.read task.read audit.read encounter.write observation.write medicationrequest.write task.write,user/Patient.read user/Encounter.read user/Observation.read user/MedicationRequest.read user/Task.read user/Encounter.write user/Observation.write user/MedicationRequest.write user/Task.write,High,Treatment,UK GDPR,Smartcard + MFA,High,Audit remote consultations,Separate from platform admin,NRBAC telehealth roles may be local,N/A,N/A,Ensure device and session controls
P049,Home Care Nurse,USA,Home Health,Clinical,Provides home visits and records observations remotely.,Visit documentation; vitals capture; wound care notes; care plan tasks.,"Home health app, EHR","Patient, Encounter, Observation, CarePlan, Task, AuditEvent",ORU,Read/Write,clinician_service,patient.read encounter.read observation.read careplan.read task.read audit.read encounter.write observation.write careplan.write task.write,user/Patient.read user/Encounter.read user/Observation.read user/CarePlan.read user/Task.read user/Encounter.write user/Observation.write user/CarePlan.write user/Task.write,High,Treatment,HIPAA,MFA + SSO,Medium,Audit mobile access,No admin privileges,N/A,Minimum necessary; limit to assigned patients,N/A,Consider offline data protection
P050,Clinical Documentation Improvement (CDI) Specialist,USA,Hospital,Operations,Improves clinical documentation for coding and quality.,Review notes; query providers; update coding queries; quality checks.,"EHR, Coding tools","Patient, Encounter, Condition, AuditEvent",N/A,Read/Write (Queries),auditor,patient.read encounter.read condition.read audit.read condition.write,user/Patient.read user/Encounter.read user/Condition.read user/Condition.write,High,Healthcare Operations,HIPAA,MFA + SSO,Restricted,Audit queries and access,Separate from billing final approval,N/A,Minimum necessary; restrict to assigned charts,N/A,Prefer query/task based writes
P051,Clinical Coder,USA,Revenue Cycle,Billing,Codes encounters and diagnoses for claims.,Read encounter documentation; assign codes; submit coding results.,"Coding system, EHR","Encounter, Condition, Procedure, Claim, AuditEvent",DFT,Read/Write (Coding),patient_service,encounter.read condition.read procedure.read claim.read audit.read claim.write,user/Encounter.read user/Condition.read user/Procedure.read user/Claim.read user/Claim.write,High,Payment,HIPAA,MFA + SSO,Restricted,Audit coding changes,No clinical documentation edits,N/A,Minimum necessary; no psychotherapy notes,N/A,Restrict access to coding-relevant data
P052,Research Coordinator,USA,Academic Medical Center,Research,Coordinates clinical research with governance controls.,Screen participants; manage consent; collect study data; de-identification workflows.,"Research platform, EHR (limited)","Consent, ResearchStudy, ResearchSubject, Patient, Observation, AuditEvent",N/A,Read/Write (Study),auditor,consent.read patient.read observation.read audit.read consent.write observation.write,user/Consent.read user/ResearchStudy.read user/ResearchSubject.read user/Patient.read user/Observation.read user/Consent.write user/Observation.write,High,Research,HIPAA; IRB policies,MFA + SSO,High,Audit research access,Separate from clinical care unless dual-role approved,N/A,Minimum necessary; limit to consented subjects,N/A,Use consent gating + purpose of use 'Research'
P053,Consent Officer,UK,Governance,Governance,Manages and validates consent directives and withdrawals.,Register consent; withdraw consent; enforce purpose of use constraints.,"Consent management, EHR","Consent, Patient, AuditEvent",N/A,Read/Write (Consent),auditor,consent.read patient.read audit.read consent.write,user/Consent.read user/Patient.read user/Consent.write,High,Healthcare Operations,UK GDPR,MFA + Elevated Role,High,Audit consent changes,No clinical note writes,NRBAC governance roles may exist locally,N/A,N/A,Fail-closed for sensitive purposes
P054,Data Quality Auditor,Kenya,Facility/County,Governance,"Reviews data quality, completeness, and anomalies.",Run validation; flag inconsistencies; approve submissions.,"EMR reporting, KHIS","AuditEvent, Measure, Observation (aggregate)",N/A,Read/Write (Flags),auditor,aggregate.read aggregate.write audit.read,N/A,Low,Healthcare Operations,Kenya Data Protection Act,MFA,Restricted,Audit data quality actions,No clinical edits,N/A,N/A,Supports routine reporting quality,Keep PHI minimal
P055,Facility Administrator (Operations),Kenya,Facility,Operations,Manages non-clinical operations and user access requests.,Manage appointment slots; oversee registration workflow; request role changes.,"Scheduling, Registration","Appointment, Patient (demographics), AuditEvent","SIU, ADT",Read/Write (Ops),patient_service,patient.read appointment.read audit.read appointment.write patient.write,user/Patient.read user/Appointment.read user/Appointment.write user/Patient.write,Low,Healthcare Operations,Kenya Data Protection Act,MFA,Restricted,Audit ops changes,No direct role provisioning (handled by IAM admin),N/A,N/A,Facility-level workflow admin is common,Keep clinical access off
P056,Integration Engine Operator,Generic,IT Operations,IT Operations,"Monitors interface queues, retries, and routing for HL7/FHIR.",Monitor message flow; replay failed messages; view logs; manage endpoints.,"Integration Engine, Monitoring","AuditEvent, Endpoint (if used), Subscription",HL7 v2 (all types),Read/Write (Ops),connector,system/*.read audit.read system/endpoint.write,system/*.read system/*.write,Medium,System,HIPAA/GDPR/Local,MFA + PAM,High,Audit all operational interventions,Separate from clinical roles,N/A,N/A,N/A,Restrict payload viewing where possible
P057,Clinical Systems Support Analyst,UK,IT / Clinical Informatics,IT Operations,Supports clinical applications; troubleshoots access and workflows.,Support tickets; impersonation (break-glass) with approval; audit review.,"ITSM, EHR (support mode)","AuditEvent, Patient (limited)",N/A,Read (Support),auditor,audit.read patient.read,user/AuditEvent.read user/Patient.read,High,Healthcare Operations,UK GDPR,MFA + PAM,High,Audit all support access,Support access must be time-bound,NRBAC support roles exist in some contexts,N/A,N/A,Implement time-limited access tokens
P058,Chief Medical Officer (CMO),USA,Hospital Leadership,Governance,Clinical leadership with oversight and quality governance.,Review quality dashboards; review incidents; approve policy changes.,"Quality system, Audit","AuditEvent, Measure, Patient (limited)",N/A,Read,auditor,audit.read aggregate.read,N/A,High,Healthcare Operations,HIPAA,MFA + Privileged,High,Audit oversight activities,No IAM provisioning,N/A,Minimum necessary; prefer de-identified analytics,N/A,Keep PHI access limited to investigations
P059,Public Health Surveillance Officer,Kenya,National/County,Public Health,Monitors surveillance data and outbreak indicators.,Monitor reports; investigate spikes; request facility follow-up.,"KHIS, Surveillance systems","Measure, Observation (aggregate), AuditEvent",N/A,Read/Write (Aggregate),auditor,aggregate.read aggregate.write audit.read,N/A,Low,Public Health,Kenya Data Protection Act; MoH policies,MFA,Restricted,Audit investigation actions,No clinical chart access,N/A,N/A,Focus on aggregate; request case-level only when authorised,Keep de-identified by default
P060,Occupational Therapist,UK,Rehab,Allied Health,Supports patients to regain daily living skills.,Document functional assessments; update care plans; referrals.,"EHR, Rehab system","Patient, Encounter, Observation, CarePlan, AuditEvent",ORU,Read/Write,clinician_service,patient.read encounter.read observation.read careplan.read audit.read encounter.write observation.write careplan.write,user/Patient.read user/Encounter.read user/Observation.read user/CarePlan.read user/Encounter.write user/Observation.write user/CarePlan.write,Medium,Treatment,UK GDPR,Smartcard + MFA,Medium,Audit care plan updates,No prescribing,Allied health NRBAC mapping,N/A,N/A,Team-based access
P061,Respiratory Therapist,USA,Hospital,Clinical,Provides respiratory therapy and monitors ventilated patients.,Record respiratory observations; update ventilator settings notes.,"EHR, ICU system","Patient, Observation, Encounter, AuditEvent","ORU, ADT",Read/Write,clinician_service,patient.read observation.read encounter.read audit.read observation.write encounter.write,user/Patient.read user/Observation.read user/Encounter.read user/Observation.write user/Encounter.write,High,Treatment,HIPAA,MFA + SSO,Medium,Audit ICU access,No prescribing,N/A,Minimum necessary; ICU context constraints,N/A,Scope to ICU encounter
P062,Dialysis Nurse,Kenya,Specialty Clinic,Clinical,Provides dialysis care and documents sessions.,Record dialysis session; monitor vitals; update treatment notes.,"EMR, Dialysis system","Patient, Encounter, Observation, Procedure, AuditEvent","ORU, ADT",Read/Write,clinician_service,patient.read encounter.read observation.read procedure.read audit.read encounter.write observation.write procedure.write,user/Patient.read user/Encounter.read user/Observation.read user/Procedure.read user/Encounter.write user/Observation.write user/Procedure.write,High,Treatment,Kenya Health Act 2017; Kenya DPA,Username + MFA,Medium,Audit session documentation,No IAM admin,N/A,N/A,Specialty data is sensitive,Use high sensitivity
P063,Clinic Manager,USA,Outpatient Clinic,Operations,Manages clinic operations and schedules; reports performance.,Manage schedules; view utilisation; approve staff access requests.,"Scheduling, Reporting","Appointment, Measure, AuditEvent",SIU,Read/Write (Ops),patient_service,appointment.read appointment.write aggregate.read audit.read,user/Appointment.read user/Appointment.write,Low,Healthcare Operations,HIPAA,MFA + SSO,Restricted,Audit schedule changes,No clinical notes access,N/A,Minimum necessary; avoid chart access,N/A,Keep to scheduling/aggregate
P064,Clinical Psychologist,UK/USA/Kenya,Hospital / Mental Health Unit,Mental Health,Provides psychological assessment and therapy within hospital setting.,Therapy documentation; manage mental health care plans; consent validation; break-glass logging.,"Mental Health EHR, Core EHR","Patient, Encounter, Observation (Mental Health Profile), CarePlan, Consent, AuditEvent","ORU, ADT",Read/Write,clinician_service,patient.read encounter.read encounter.write observation.read observation.write careplan.read careplan.write consent.read audit.read,user/Patient.read user/Encounter.write user/Observation.write user/CarePlan.write,High,Treatment,HIPAA / GDPR / Kenya Data Protection Act,MFA + Elevated Role,High,Mandatory audit + break-glass flagging,No prescribing; no billing; no IAM provisioning,NRBAC specialist clinician mapping (UK),Psychotherapy notes segregated per HIPAA,High confidentiality obligations in Kenya,Separate FHIR MentalHealth profile + sensitivity tagging
P065,Psychiatrist,UK/USA/Kenya,Hospital / Mental Health,Clinical,Medical specialist in psychiatry with prescribing authority.,Diagnose; prescribe; manage mental health treatment; crisis intervention; consent checks.,"Mental Health EHR, ePrescribing","Patient, Encounter, Observation, CarePlan, MedicationRequest, Consent, AuditEvent","ORM, ORU, ADT",Read/Write/Update,clinician_service,patient.read encounter.read encounter.write observation.read observation.write medicationrequest.read medicationrequest.write careplan.read careplan.write consent.read audit.read,user/Patient.read user/Encounter.write user/Observation.write user/MedicationRequest.write user/CarePlan.write,High,Treatment,HIPAA / GDPR / Kenya Data Protection Act,MFA + Elevated Role,High,Audit prescribing + break-glass monitoring,No IAM provisioning,NRBAC consultant mapping (UK),Psychotherapy notes segregation applies,Sensitive mental health obligations apply,High sensitivity tier + break-glass enforcement
P066,Hospital Social Worker,UK/USA/Kenya,Hospital,Care Coordination,"Supports discharge planning, safeguarding and social care coordination.",Document social history; manage care transition tasks; referral coordination; safeguarding notes.,"EHR, Care Management Platform","Patient, Encounter, Observation (Social), CarePlan, Task, Consent, AuditEvent","ADT, SIU",Read/Write,clinician_service,patient.read encounter.read encounter.write observation.read observation.write task.read task.write careplan.read careplan.write audit.read,user/Patient.read user/Encounter.write user/Observation.write user/Task.write user/CarePlan.write,Medium-High,Healthcare Operations,HIPAA / GDPR / Kenya Data Protection Act,MFA,Medium,Enhanced audit on sensitive social entries,No medication write; no billing; no IAM rights,NRBAC care coordination roles (UK),Minimum necessary enforcement (US),Safeguarding confidentiality obligations,Restrict to assigned caseload + sensitive field masking
P067,Safeguarding Lead,UK,Hospital,Governance,Oversees safeguarding cases and protection protocols.,Review safeguarding alerts; approve disclosures; investigate cases; audit review.,"EHR, Audit System","Patient, Consent, AuditEvent, Observation (Flagged)",N/A,Read,auditor,patient.read consent.read audit.read observation.read,user/Patient.read user/Consent.read user/AuditEvent.read,High,Healthcare Operations,UK GDPR,MFA + Privileged,High,Full audit trail required,No clinical editing privileges,Mapped to NHS safeguarding governance roles,N/A,N/A,Read-only with enhanced logging
P068,Mental Health Records Custodian,USA,Hospital,Records,Manages storage and disclosure of psychotherapy and sensitive notes.,Control access to psychotherapy notes; release under policy; audit review.,"Document Repository, EHR","DocumentReference (Psychotherapy), Consent, AuditEvent",MDM,Read/Write (Controlled),auditor,documentreference.read documentreference.write consent.read audit.read,user/DocumentReference.read user/Consent.read user/AuditEvent.read,High,Healthcare Operations,HIPAA (Psychotherapy Note Protections),MFA + Privileged,High,Strict logging and disclosure tracking,No prescribing; no clinical documentation editing,N/A,Separate psychotherapy note classification mandatory,N/A,Dedicated FHIR psychotherapy profile + sensitivity enforcement
